Probeset	Value
1367452_at	11.339181
1367453_at	10.910721
1367454_at	10.484489
1367455_at	11.62261
1367456_at	11.790507
1367457_at	10.187593
1367458_at	8.4402227
1367459_at	12.541739
1367460_at	11.500869
1367461_at	9.6927185
1367462_at	11.028035
1367463_at	11.949231
1367464_at	9.2906923
1367465_at	10.250547
1367466_at	10.726707
1367467_at	12.326874
1367468_at	9.6712494
1367469_at	12.54831
1367470_at	11.009618
1367471_at	9.4543533
1367472_at	11.094648
1367473_at	10.963511
1367474_at	9.6774044
1367475_at	11.566287
1367476_at	11.80449
1367477_at	10.978941
1367478_at	8.1799688
1367479_at	12.030546
1367480_at	10.095037
1367481_at	10.031981
1367482_at	9.5378942
1367483_at	9.7784815
1367484_at	10.279998
1367485_at	10.525672
1367486_at	9.6346807
1367487_at	7.674408
1367488_at	9.0850935
1367489_at	7.4385414
1367490_at	8.8046122
1367491_at	10.203652
1367492_at	10.240235
1367493_at	10.2396
1367494_at	10.441886
1367495_at	8.953351
1367496_at	11.702875
1367497_at	8.6009607
1367498_at	9.4133806
1367499_at	8.2097311
1367500_at	10.972099
1367501_at	7.7235236
1367502_at	10.143111
1367503_at	10.9681
1367504_at	8.2450743
1367505_at	8.2615585
1367506_at	10.866526
1367507_at	7.0395956
1367508_at	8.8015585
1367509_at	10.723999
1367510_at	9.8517132
1367511_at	8.1060238
1367512_at	11.190471
1367513_at	8.6692533
1367514_at	8.0906401
1367515_at	8.2247772
1367516_at	9.379652
1367517_at	7.1920557
1367518_at	9.0806751
1367519_at	9.289526
1367520_at	10.260379
1367521_at	6.2970085
1367522_at	9.3058376
1367523_at	9.2653522
1367524_at	7.4443049
1367525_at	9.9098063
1367526_at	9.3840895
1367527_at	9.2268419
1367528_at	9.1189499
1367529_at	9.1230211
1367530_at	8.6804514
1367531_at	10.577448
1367532_at	12.275226
1367533_at	9.4057951
1367534_at	9.1597958
1367535_at	9.1045103
1367536_at	8.5009251
1367537_at	8.6312475
1367538_at	8.801302
1367539_at	9.1952772
1367540_at	7.8069491
1367541_at	8.8539028
1367542_at	8.9123716
1367543_at	9.0553722
1367544_at	7.9596558
1367545_at	8.36304
1367546_at	10.434903
1367547_at	9.1933002
1367548_at	8.0676908
1367549_a_at	11.435013
1367550_a_at	9.6299152
1367551_a_at	9.2251358
1367552_at	6.0100446
1367553_x_at	10.769197
1367554_at	4.0480585
1367555_at	5.2357645
1367556_s_at	4.9332223
1367557_s_at	14.068891
1367558_x_at	4.078371
1367559_at	10.830301
1367560_at	12.719905
1367561_at	13.098841
1367562_at	10.45201
1367563_at	11.756972
1367564_at	13.226839
1367565_a_at	13.978006
1367566_at	4.8266673
1367567_at	12.672526
1367568_a_at	13.204195
1367569_at	12.126927
1367570_at	9.5745459
1367571_a_at	8.5745821
1367572_at	14.147608
1367573_at	13.293405
1367574_at	12.030716
1367575_at	12.393901
1367576_at	13.850305
1367577_at	11.628531
1367578_at	12.849787
1367579_a_at	12.907868
1367580_at	11.728339
1367581_a_at	7.3079443
1367582_at	12.317665
1367583_at	13.751864
1367584_at	11.361242
1367585_a_at	11.547872
1367586_at	13.273261
1367587_at	4.3695345
1367588_a_at	11.925921
1367589_at	13.537005
1367590_at	11.568572
1367591_at	12.434299
1367592_at	14.235803
1367593_at	9.4605083
1367594_at	10.177194
1367595_s_at	13.49911
1367596_at	12.559935
1367597_at	12.922615
1367598_at	9.3772411
1367599_at	13.763158
1367600_at	12.948807
1367601_at	9.6530542
1367602_at	10.597115
1367603_at	12.883649
1367604_at	13.232574
1367605_at	10.927417
1367606_at	13.354486
1367607_at	14.062494
1367608_at	6.4572778
1367609_at	11.197455
1367610_at	13.44903
1367611_at	4.9826126
1367612_at	10.727846
1367613_at	12.215284
1367614_at	10.054128
1367615_at	4.7106347
1367616_at	12.688851
1367617_at	13.926288
1367618_a_at	12.30947
1367619_at	9.1663694
1367620_at	13.861818
1367621_at	8.8772306
1367622_at	13.683
1367623_at	12.726763
1367624_at	10.641874
1367625_at	13.518207
1367626_at	13.727259
1367627_at	8.1208591
1367628_at	12.323153
1367629_at	13.770244
1367630_at	13.496873
1367631_at	10.799478
1367632_at	10.809316
1367633_at	9.4053478
1367634_at	13.1797
1367635_at	11.459325
1367636_at	9.8882513
1367637_a_at	11.648992
1367638_at	10.543424
1367639_a_at	12.88728
1367640_at	13.12562
1367641_at	12.922343
1367642_at	12.633103
1367643_at	12.150386
1367644_at	9.2671509
1367645_at	13.416345
1367646_at	12.495026
1367647_at	4.7726541
1367648_at	6.7994456
1367649_at	8.0645847
1367650_at	8.7267504
1367651_at	11.364348
1367652_at	8.0602036
1367653_a_at	13.874559
1367654_at	10.659263
1367655_at	9.3152647
1367656_at	11.186341
1367657_at	11.690676
1367658_at	8.597682
1367659_s_at	12.509957
1367660_at	14.225091
1367661_at	10.515031
1367662_at	12.292691
1367663_at	12.721496
1367664_at	13.817677
1367665_at	13.978531
1367666_at	10.646667
1367667_at	9.406621
1367668_a_at	8.1604748
1367669_a_at	10.6457
1367670_at	12.729257
1367671_at	10.599841
1367672_at	11.232391
1367673_at	9.998517
1367674_at	10.768563
1367675_at	8.2168884
1367676_at	8.3849211
1367677_at	11.225555
1367678_at	13.033793
1367679_at	11.944768
1367680_at	12.409098
1367681_at	11.307807
1367682_at	8.0360928
1367683_at	11.543546
1367684_at	5.1366844
1367685_at	12.906446
1367686_at	9.9226255
1367687_a_at	13.171905
1367688_at	7.5784531
1367689_a_at	13.27408
1367690_at	11.159754
1367691_at	11.544396
1367692_at	4.2918286
1367693_at	12.055696
1367694_at	13.638041
1367695_at	10.10272
1367696_at	10.583686
1367697_at	9.9378824
1367698_a_at	8.8297491
1367699_at	6.9588113
1367700_at	7.6095285
1367701_at	9.7421627
1367702_at	13.674565
1367703_at	5.3389482
1367704_at	10.230235
1367705_at	7.636879
1367706_at	13.226495
1367707_at	5.6520839
1367708_a_at	7.0941825
1367709_at	12.753221
1367710_at	10.246631
1367711_at	12.096741
1367712_at	8.0706749
1367713_at	9.9161253
1367714_at	8.5713072
1367715_at	8.9686146
1367716_at	9.1988592
1367717_at	13.267447
1367718_at	9.0276451
1367719_at	11.096868
1367720_at	9.4907761
1367721_at	9.4227009
1367722_at	9.4377575
1367723_a_at	8.7729139
1367724_a_at	10.973791
1367725_at	9.2143078
1367726_at	8.0932484
1367727_at	9.0717754
1367728_at	7.6408486
1367729_at	11.014819
1367730_at	8.8515644
1367731_at	9.0166416
1367732_at	8.7727365
1367733_at	7.5667977
1367734_at	12.033555
1367735_at	13.833229
1367736_at	10.967079
1367737_at	10.121218
1367738_at	9.7923937
1367739_at	14.091884
1367740_at	9.3655071
1367741_at	10.655839
1367742_at	12.632667
1367743_at	7.6368766
1367744_at	7.849112
1367745_at	8.3603516
1367746_a_at	9.7042665
1367747_at	8.9887295
1367748_at	8.805625
1367749_at	11.563798
1367750_at	8.6416512
1367751_at	7.6307144
1367752_at	7.974061
1367753_at	8.5896959
1367754_s_at	6.4005542
1367755_at	7.7602181
1367756_at	11.224483
1367757_at	13.640372
1367758_at	4.4026079
1367759_at	9.5045748
1367760_at	9.7931271
1367761_at	8.7664719
1367762_at	4.4888358
1367763_at	12.58036
1367764_at	12.477007
1367765_at	9.1711092
1367766_at	12.453856
1367767_at	9.8021641
1367768_at	8.1022177
1367769_at	9.0912647
1367770_at	10.65101
1367771_at	10.457683
1367772_at	9.4174023
1367773_at	7.1188798
1367774_at	9.9716101
1367775_at	9.0368347
1367776_at	5.15451
1367777_at	13.117155
1367778_at	8.138238
1367779_at	7.0773826
1367780_at	6.5578322
1367781_at	4.6095247
1367782_at	14.207013
1367783_at	11.749578
1367784_a_at	13.405152
1367785_at	5.9445639
1367786_at	7.8679705
1367787_at	6.8366313
1367788_at	8.2197704
1367789_at	10.27164
1367790_at	9.482193
1367791_at	5.8548646
1367792_at	4.6387277
1367793_at	10.847891
1367794_at	4.4865255
1367795_at	8.6454821
1367796_at	8.0847073
1367797_at	6.1683378
1367798_at	8.2436285
1367799_at	11.978827
1367800_at	10.16432
1367801_at	9.4531145
1367802_at	9.1023769
1367803_at	7.6538076
1367804_at	5.9957361
1367805_at	7.8864999
1367806_at	6.8814011
1367807_at	9.5738497
1367808_at	12.333176
1367809_at	5.3672071
1367810_at	9.481822
1367811_at	5.6347842
1367812_at	5.3435607
1367813_at	6.1994805
1367814_at	11.773926
1367815_at	8.5792875
1367816_at	10.274261
1367817_at	8.8682928
1367818_at	10.597888
1367819_at	12.902446
1367820_at	11.244342
1367821_a_at	4.4264374
1367822_at	4.4519401
1367823_at	8.3319387
1367824_at	9.1762152
1367825_at	8.0852947
1367826_at	10.019533
1367827_at	10.98422
1367828_at	10.915673
1367829_at	11.423833
1367830_a_at	7.3116708
1367831_at	8.4793653
1367832_at	11.546915
1367833_at	11.039214
1367834_at	6.9283032
1367835_at	5.8782272
1367836_at	8.2900562
1367837_at	10.018679
1367838_at	4.1521587
1367839_at	9.6982145
1367840_at	9.4386835
1367841_a_at	4.2097211
1367842_at	9.1525631
1367843_at	8.8789692
1367844_at	10.055406
1367845_at	4.3982744
1367846_at	9.5059748
1367847_at	7.6673398
1367848_at	9.8995199
1367849_at	5.4296761
1367850_at	8.1099186
1367851_at	7.5277457
1367852_s_at	6.3631468
1367853_at	9.4834166
1367854_at	8.4606609
1367855_at	6.1590953
1367856_at	8.7545481
1367857_at	7.7404633
1367858_at	6.8557844
1367859_at	8.3869724
1367860_a_at	9.3205013
1367861_at	7.3209081
1367862_at	11.612224
1367863_at	9.1306553
1367864_at	12.268043
1367865_at	7.7179375
1367866_at	7.8259993
1367867_at	7.1083426
1367868_at	7.5502243
1367869_at	12.044002
1367870_at	10.759279
1367871_at	7.8153205
1367872_at	8.3915491
1367873_at	11.08621
1367874_at	9.9739313
1367875_at	8.2290697
1367876_at	8.234725
1367877_at	8.2479582
1367878_at	7.9147706
1367879_at	7.7214818
1367880_at	11.500178
1367881_at	8.5330973
1367882_at	9.6720152
1367883_at	7.625989
1367884_at	9.4809284
1367885_at	10.320765
1367886_at	8.0778942
1367887_at	4.8448992
1367888_at	4.5872598
1367889_at	8.9489851
1367890_at	8.2817087
1367891_a_at	5.2836261
1367892_at	12.295038
1367893_a_at	6.9531741
1367894_at	9.3952389
1367895_at	11.314971
1367896_at	6.7051778
1367897_at	11.827411
1367898_at	10.856054
1367899_at	9.8673191
1367900_at	12.164232
1367901_at	7.3944221
1367902_at	11.04292
1367903_at	9.1086693
1367904_at	4.7589612
1367905_at	8.1083879
1367906_at	7.6263766
1367907_a_at	11.821595
1367908_at	10.088445
1367909_at	8.4380531
1367910_at	7.9119544
1367911_at	11.234914
1367912_at	8.5372829
1367913_at	9.7582922
1367914_at	9.0391245
1367915_at	9.0056162
1367916_at	8.6655722
1367917_at	5.1243672
1367918_at	6.2983527
1367919_at	5.5638385
1367920_at	5.1934991
1367921_at	8.0585604
1367922_at	9.3580914
1367923_at	5.4044609
1367924_at	8.2350292
1367925_at	8.5136271
1367926_at	8.9687443
1367927_at	11.089274
1367928_at	12.32776
1367929_at	11.826963
1367930_at	5.0033188
1367931_a_at	9.0749493
1367932_at	8.6635351
1367933_at	10.224772
1367934_at	6.4138288
1367935_at	9.1516294
1367936_at	7.7521715
1367937_at	5.2741656
1367938_at	8.5604401
1367939_at	7.4234357
1367940_at	10.513739
1367941_at	9.8664083
1367942_at	5.2642226
1367943_at	8.7526617
1367944_at	5.8586755
1367945_at	9.3428631
1367946_at	10.465091
1367947_at	9.8743219
1367948_a_at	11.121793
1367949_at	12.941206
1367950_at	7.7615633
1367951_at	12.66015
1367952_at	4.8974953
1367953_at	4.8420291
1367954_at	5.9960046
1367955_at	7.1302824
1367956_at	7.7438607
1367957_at	8.1796398
1367958_at	8.8105364
1367959_a_at	9.6827517
1367960_at	8.2951651
1367961_at	5.0406003
1367962_at	5.0388184
1367963_at	7.9328647
1367964_at	6.0328817
1367965_at	7.315258
1367966_at	7.703115
1367967_at	6.346395
1367968_at	4.3482552
1367969_at	11.49146
1367970_at	6.8326235
1367971_at	11.318494
1367972_at	9.5112476
1367973_at	7.5449176
1367974_at	10.192399
1367975_at	5.6214252
1367976_at	9.0944624
1367977_at	4.6662445
1367978_at	5.5535555
1367979_s_at	8.5055733
1367980_at	8.086833
1367981_at	7.5369573
1367982_at	11.776267
1367983_at	6.117372
1367984_at	7.7102256
1367985_at	5.8806257
1367986_at	8.8354168
1367987_at	9.8688002
1367988_at	4.5661345
1367989_at	10.462435
1367990_at	6.2914872
1367991_at	7.4833412
1367992_at	4.7575998
1367993_at	8.6536608
1367994_at	5.1495576
1367995_at	12.136071
1367996_a_at	5.4422021
1367997_at	8.8586254
1367998_at	6.6772666
1367999_at	11.661193
1368000_at	5.2888141
1368001_at	6.6479602
1368002_at	6.8454919
1368003_at	6.5639195
1368004_at	10.170189
1368005_at	6.6894999
1368006_at	7.5455136
1368007_at	6.4241514
1368008_at	8.7783422
1368009_at	7.3827353
1368010_at	6.1552086
1368011_at	7.5993261
1368012_at	8.254797
1368013_at	9.285696
1368014_at	5.0359259
1368015_at	5.9154782
1368016_at	10.30359
1368017_at	5.224761
1368018_at	9.313674
1368019_at	8.3690653
1368020_at	6.1178851
1368021_at	5.7033281
1368022_at	9.5881519
1368023_at	8.1885014
1368024_at	7.0591326
1368025_at	8.6173716
1368026_at	7.846137
1368027_at	7.1355362
1368028_at	5.3932877
1368029_at	10.157069
1368030_at	7.7305179
1368031_at	8.6348972
1368032_at	8.0341797
1368033_at	6.3851981
1368034_at	4.6397963
1368035_a_at	5.7507696
1368036_at	5.8808541
1368037_at	10.213571
1368038_at	10.684507
1368039_at	7.8199821
1368040_at	9.5177231
1368041_at	9.6404905
1368042_a_at	11.745339
1368043_at	8.2820749
1368044_at	4.1209517
1368045_at	7.1990767
1368046_at	5.5354848
1368047_at	5.1222429
1368048_at	4.7817769
1368049_at	11.22965
1368050_at	8.2713346
1368051_at	8.4560595
1368052_at	9.2100277
1368053_at	7.4733548
1368054_at	7.5239778
1368055_a_at	9.1750851
1368056_at	8.7752171
1368057_at	8.8176107
1368058_at	8.0016518
1368059_at	8.0510283
1368060_at	5.5863595
1368061_at	5.5291643
1368062_at	9.7766619
1368063_a_at	9.7353077
1368064_a_at	9.2595072
1368065_at	6.4509149
1368066_at	5.4084044
1368067_at	9.9038143
1368068_a_at	9.9223404
1368069_at	9.1115894
1368070_at	8.135046
1368071_at	9.3688812
1368072_at	8.2149191
1368073_at	8.5534496
1368074_at	6.3639388
1368075_at	10.05643
1368076_at	8.3422003
1368077_at	5.8048134
1368078_at	7.2182517
1368079_at	11.015588
1368080_at	10.248739
1368081_at	8.0023117
1368082_at	6.4716921
1368083_at	10.01813
1368084_at	5.7335668
1368085_at	6.3794432
1368086_a_at	6.8556476
1368087_a_at	8.8808451
1368088_at	6.3755536
1368089_at	9.468359
1368090_at	6.2093806
1368091_at	7.5060163
1368092_at	5.4339795
1368093_at	14.262159
1368094_at	7.1415567
1368095_at	11.422509
1368096_at	9.8425598
1368097_a_at	9.4625177
1368098_a_at	12.095518
1368099_at	10.335299
1368100_at	9.9799881
1368101_at	9.2642136
1368102_at	5.770844
1368103_at	7.2118273
1368104_at	9.2729588
1368105_at	8.9428225
1368106_at	8.2485647
1368107_at	4.591629
1368108_at	5.9176393
1368109_at	10.444371
1368110_a_at	5.0080795
1368111_at	7.5537677
1368112_at	5.4902735
1368113_at	4.8268728
1368114_at	10.043852
1368115_at	7.2760339
1368116_a_at	7.7029099
1368117_at	8.5762472
1368118_at	8.6253805
1368119_at	8.1783571
1368120_at	4.8045659
1368121_at	5.2825942
1368122_at	8.9670887
1368123_at	7.2580414
1368124_at	7.7712975
1368125_at	6.7830968
1368126_at	5.907124
1368127_at	5.9589829
1368128_at	11.769898
1368129_at	6.3612404
1368130_at	5.9668627
1368131_at	4.4574699
1368132_at	10.297664
1368133_at	8.4296722
1368134_a_at	7.9213681
1368135_at	6.3447227
1368136_at	8.5365515
1368137_at	8.7818966
1368138_at	8.7048912
1368139_s_at	7.7418294
1368140_at	5.8262753
1368141_at	12.699858
1368142_at	6.1885023
1368143_at	8.7470894
1368144_at	8.0710773
1368145_at	5.9205794
1368146_at	10.801718
1368147_at	7.4282751
1368148_at	5.179554
1368149_at	6.3529806
1368150_at	6.1351919
1368151_at	10.55381
1368152_at	9.4177084
1368153_a_at	6.808228
1368154_at	9.5220633
1368155_at	4.4898043
1368156_at	5.4094973
1368157_at	6.3783536
1368158_at	9.6890326
1368159_at	8.737339
1368160_at	4.9064412
1368161_a_at	5.3834138
1368162_at	5.7082467
1368163_at	7.0650182
1368164_at	7.3161726
1368165_at	9.4727621
1368166_at	7.1009679
1368167_at	5.0427518
1368168_at	4.680819
1368169_at	6.7453537
1368170_at	4.7281189
1368171_at	7.2002978
1368172_a_at	6.008883
1368173_at	8.8597422
1368174_at	12.001944
1368175_at	7.4080896
1368176_at	7.9062953
1368177_at	6.531044
1368178_at	4.9404922
1368179_at	7.7162366
1368180_s_at	5.6672244
1368181_at	9.423708
1368182_at	7.1555505
1368183_at	9.3937368
1368184_at	7.8863363
1368185_at	5.8278909
1368186_a_at	6.8682208
1368187_at	9.5445614
1368188_at	5.5135818
1368189_at	5.7082396
1368190_at	5.0688224
1368191_a_at	5.6191058
1368192_at	5.1454611
1368193_at	5.5721374
1368194_at	6.4258995
1368195_at	5.9091353
1368196_at	4.7836084
1368197_at	4.5702825
1368198_at	5.2488503
1368199_at	9.9555864
1368200_at	8.9243202
1368201_at	7.1706033
1368202_a_at	10.873362
1368203_at	4.5264363
1368204_at	7.0193863
1368205_at	4.9551926
1368206_at	8.0663881
1368207_at	7.7117586
1368208_at	6.3621449
1368209_at	6.4089007
1368210_at	4.5622277
1368211_at	13.282584
1368212_at	9.2187414
1368213_at	7.3322854
1368214_at	8.207303
1368215_at	10.085515
1368216_at	11.601522
1368217_at	9.9619198
1368218_at	6.7520871
1368219_at	6.3890243
1368220_at	8.6260967
1368221_at	9.8726826
1368222_at	5.1177392
1368223_at	8.7195091
1368224_at	4.5095172
1368225_at	8.3776207
1368226_at	6.3882179
1368227_at	9.3326597
1368228_at	10.200104
1368229_at	7.7325788
1368230_a_at	10.689918
1368231_at	7.5239263
1368232_at	6.4185414
1368233_at	6.8291745
1368234_at	7.957005
1368235_at	8.3215952
1368236_at	4.7163696
1368237_at	4.9352527
1368238_at	6.8463807
1368239_at	5.7142038
1368240_a_at	4.7028008
1368241_a_at	10.493373
1368242_at	8.3366385
1368243_at	7.7382469
1368244_at	7.4533906
1368245_at	4.6316004
1368246_at	6.5050092
1368247_at	5.5223584
1368248_at	6.946022
1368249_at	9.7031794
1368250_at	4.4101739
1368251_at	5.8144617
1368252_at	10.616362
1368253_at	8.2580767
1368254_a_at	6.1206427
1368255_at	4.2504072
1368256_at	4.2439995
1368257_at	4.5140338
1368258_at	7.2050319
1368259_at	5.8925018
1368260_at	4.664309
1368261_at	5.2751794
1368262_at	6.6202312
1368263_a_at	5.3585944
1368264_at	6.4968309
1368265_at	6.1196799
1368266_at	4.3201485
1368267_at	6.9228897
1368268_at	6.964756
1368269_at	4.4839783
1368270_at	6.4780679
1368271_a_at	12.737519
1368272_at	12.791036
1368273_at	9.6290751
1368274_at	9.2939539
1368275_at	8.0046577
1368276_at	7.459065
1368277_at	10.117686
1368278_at	5.0070581
1368279_at	4.942925
1368280_at	10.535943
1368281_at	6.2996869
1368282_at	5.2756195
1368283_at	6.5731101
1368284_at	6.7220922
1368285_at	5.8637748
1368286_at	7.5235443
1368287_at	7.497117
1368288_at	4.9993358
1368289_at	4.9446564
1368290_at	5.0819216
1368291_at	9.0977526
1368292_at	7.4124732
1368293_at	6.452435
1368294_at	5.4674225
1368295_at	8.8074436
1368296_at	6.9368172
1368297_at	7.9625006
1368298_at	9.2926788
1368299_at	4.6216083
1368300_at	6.7401376
1368301_at	6.7054114
1368302_at	7.5778875
1368303_at	7.6837873
1368304_at	9.2258759
1368305_at	7.0957284
1368306_at	6.2654672
1368307_at	6.5831652
1368308_at	6.9434729
1368309_at	9.1053085
1368310_at	5.4959435
1368311_at	6.8899875
1368312_at	5.5350347
1368313_a_at	4.9219079
1368314_at	8.3232107
1368315_at	8.2522459
1368316_at	4.8032603
1368317_at	11.467316
1368318_at	9.9783106
1368319_a_at	5.7050796
1368320_at	5.940639
1368321_at	8.774972
1368322_at	9.9766979
1368323_at	9.8775959
1368324_at	5.8530831
1368325_at	4.3215728
1368326_at	6.4108477
1368327_at	5.5050249
1368328_at	4.820745
1368329_at	6.1148024
1368330_at	7.0860023
1368331_at	9.4418421
1368332_at	7.7800064
1368333_at	5.1683297
1368334_at	4.8440313
1368335_at	4.8135366
1368336_at	11.147643
1368337_at	5.7293324
1368338_at	4.8152037
1368339_at	4.9975576
1368340_at	8.0795393
1368341_at	6.9921947
1368342_at	9.8827562
1368343_at	7.4536757
1368344_at	4.1432753
1368345_at	5.9976907
1368346_at	5.0966544
1368347_at	7.7749972
1368348_at	5.125144
1368349_at	6.1168294
1368350_at	4.1857686
1368351_at	6.9352865
1368352_at	4.9972863
1368353_at	4.9031935
1368354_at	6.4165115
1368355_at	6.9178243
1368356_a_at	9.1766367
1368357_at	5.739181
1368358_a_at	9.9044199
1368359_a_at	4.5879946
1368360_at	5.4771495
1368361_a_at	8.4422712
1368362_a_at	5.8084893
1368363_at	4.6257424
1368364_at	5.2685823
1368365_at	9.1979065
1368366_at	4.4280763
1368367_at	6.4672012
1368368_a_at	5.3721414
1368369_at	4.9214749
1368370_at	7.0536466
1368371_at	8.9240236
1368372_at	8.4317007
1368373_at	4.793335
1368374_a_at	6.8056078
1368375_a_at	6.7038565
1368376_at	7.7245221
1368377_at	5.508534
1368378_at	5.2480397
1368379_at	7.8327627
1368380_at	8.9996195
1368381_at	5.148397
1368382_at	5.4346428
1368383_at	6.1298203
1368384_at	5.4136033
1368385_a_at	9.4928417
1368386_at	10.384336
1368387_at	8.3541288
1368388_at	5.3810625
1368389_at	8.7344847
1368390_at	8.282218
1368391_at	7.7135901
1368392_at	7.5510092
1368393_at	7.3368292
1368394_at	5.2933049
1368395_at	6.4613385
1368396_at	5.0806546
1368397_at	3.9946258
1368398_at	5.7283182
1368399_a_at	8.4702845
1368400_at	8.5461531
1368401_at	4.4854836
1368402_at	10.703856
1368403_at	8.7903929
1368404_at	7.3621902
1368405_at	9.5940409
1368406_at	4.9271917
1368407_at	7.0884471
1368408_at	7.7249842
1368409_at	7.564827
1368410_at	5.7543092
1368411_a_at	4.4756994
1368412_a_at	5.8157158
1368413_at	4.77105
1368414_at	6.3492699
1368415_at	4.9450569
1368416_at	4.3192525
1368417_at	6.0505381
1368418_a_at	7.7383475
1368419_at	7.587337
1368420_at	6.3679342
1368421_at	5.2402987
1368422_at	8.6346064
1368423_at	5.8983722
1368424_at	8.4195642
1368425_at	5.2424479
1368426_at	8.498538
1368427_at	8.8972149
1368428_at	5.9022913
1368429_at	4.5349627
1368430_at	11.108588
1368431_at	5.3869452
1368432_a_at	6.6933684
1368433_at	9.2035437
1368434_at	4.7283401
1368435_at	5.188478
1368436_at	9.7174826
1368437_at	9.476265
1368438_at	6.1584105
1368439_at	6.6127729
1368440_at	10.050255
1368441_at	6.5437903
1368442_at	4.2713137
1368443_at	5.7145743
1368444_at	8.0807714
1368445_at	6.0577998
1368446_at	4.667717
1368447_x_at	5.052074
1368448_at	7.6990271
1368449_at	4.9329543
1368450_at	5.0497141
1368451_at	6.4953685
1368452_at	5.4357615
1368453_at	5.1777067
1368454_at	4.4518657
1368455_at	5.8844366
1368456_at	4.5101018
1368457_at	4.4213805
1368458_at	4.3774457
1368459_at	4.9581833
1368460_at	5.3847036
1368461_at	6.0241752
1368462_at	4.9964905
1368463_at	7.5274687
1368464_at	7.3224721
1368465_at	4.2428274
1368466_a_at	5.577611
1368467_at	6.2042317
1368468_at	7.8712621
1368469_at	4.7586665
1368470_at	7.8857245
1368471_at	5.0018029
1368472_at	4.7460217
1368473_at	7.3426499
1368474_at	7.5657034
1368475_at	7.2533231
1368476_at	9.1978407
1368477_at	7.0538712
1368478_at	4.3629684
1368479_at	4.6209869
1368480_at	8.1694851
1368481_at	5.5578794
1368482_at	5.3853369
1368483_a_at	5.4220419
1368484_at	5.9586034
1368485_at	5.4018111
1368486_at	5.4767904
1368487_at	4.0736885
1368488_at	7.7951708
1368489_at	4.7710223
1368490_at	7.8021445
1368491_at	4.5808206
1368492_at	5.6249418
1368493_at	5.5602965
1368494_at	5.058949
1368495_at	4.7454634
1368496_at	4.9798498
1368497_at	4.6945271
1368498_a_at	3.9572034
1368499_at	4.0421672
1368500_a_at	6.6254969
1368501_s_at	6.1781201
